reading,value,sub_index,competing_signs,sign_name,abz,mzl,other_lists,sign_other_values,corpus_occurrences,resolved_to_by_scorer,ebl_url
abnu,abnu,1,2,NA₄,ABZ229,385,HZL 73; LAK 511; OBZL 262; SLLHA 229n; KWU 779,aban atumₓ i₄ ia₄ na₄ ya₄ za₂,6854,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=abnu&subIndex=1&value=abnu
abnu,abnu,1,2,|UD.NI|,,,,atumₓ naₓ yaₓ zaₓ,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=abnu&subIndex=1&value=abnu
agarinx,agarinx,1,2,|UMUM×DUN₃@g|,,,,,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=agarinx&subIndex=1&value=agarinx
agarinx,agarinx,1,2,|UMUM×HA|,,,,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=agarinx&subIndex=1&value=agarinx
ašgi,ašgi,1,2,|AŠ.HI×DIŠ.GI₄|,,,,aski,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=a%C5%A1gi&subIndex=1&value=a%C5%A1gi
ašgi,ašgi,1,2,|ŠIR.GI₄|,,,,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=a%C5%A1gi&subIndex=1&value=a%C5%A1gi
bur₆,bur,6,2,KID,ABZ313,484,HZL 194; LAK 733; OBZL 163; SLLHA 313,buru₆ ge₂ gi₂ gid git gub₅ gup₅ ke₄ ket ki₄ kid kit kiṭ kub₄ kup₄ lel₂ lil₂ lila₂ muru₁₂ qi₅ qid qet qit sah seh₂ sih₂ suh₄ šah₃ ših₂ ṣah₂,17033,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=bur%E2%82%86&subIndex=6&value=bur
bur₆,bur,6,2,KISAL,ABZ249,435,HZL 228; LAK 723; OBZL 161; SLLHA 249; KWU 804,dag₄ ĝepar kisal par4 lel₄,317,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=bur%E2%82%86&subIndex=6&value=bur
būdu,būdu,1,2,|ZAG.GA|,,,,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=b%C5%ABdu&subIndex=1&value=b%C5%ABdu
būdu,būdu,1,2,|ZAG.HA|,,,,enku enkud essad ešsad eššad,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=b%C5%ABdu&subIndex=1&value=b%C5%ABdu
darengal,darengal,1,2,|A.LAGAB×HAL.UD.NUN.KI|,,,,išuruengal surengal surgal turungal,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=darengal&subIndex=1&value=darengal
darengal,darengal,1,2,|UD.NUN|,,,,adab adaba arab durungal isurungal suruengal surungal surugal turungal usab,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=darengal&subIndex=1&value=darengal
di₂,di,2,2,DIN,ABZ465,119,HZL 330; LAK 237; OBZL 361; SLLHA 465; KWU 575,dan₅ den din dini gurun₈ idinₓ kurun₂ ten₂ ti₂ tilₓ tim₃ tin ṭen ṭin,15586,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=di%E2%82%82&subIndex=2&value=di
di₂,di,2,2,TÍ,ABZ396,633,HZL 335; LAK 359; OBZL 277; SLLHA 396; KWU 446,de₈ te₂ ti₂ ṭe₂ ṭi₂,32130,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=di%E2%82%82&subIndex=2&value=di
dubba,dubba,1,2,DIB,ABZ537,813,HZL 210?; OBZL 419; SLLHA 537,dab daba dabe dap deb diₓ dib dibi dip dul₈ nu₁₂ teb tep tib tip ṭab₃ ṭap₃ ṭeb ṭep ṭib ṭip,55131,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=dubba&subIndex=1&value=dubba
dubba,dubba,1,2,DUB,ABZ138,242,HZL 99; LAK 609; OBZL 112b; SLLHA 138; KWU 834,leʾum dab₄ deh dehi dih dub duba dubu dup kišeb kišeb₃ kišib₃ mebulug₃ menbulug₃ mes₂ samag simig sumug šen₄ tehe tehi tub tup ṭub ṭup urud₂ urudu₂ zamug,7197,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=dubba&subIndex=1&value=dubba
duh,duh,1,2,DUH,ABZ167,298,HZL 164; OBZL 141; SLLHA 167; KWU 146,,10813,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=duh&subIndex=1&value=duh
duh,duh,1,2,GABA,ABZ167,298,LAK 119,du₈ dudda ga₁₅ gab gaba gap irtu pitru qab qap tah₂ tu₂₄ tuh tuhu ṭah₂ ṭuh ṭu₅,10813,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=duh&subIndex=1&value=duh
eger₆,eger,6,2,MURGU₂,ABZ565,901,HZL 311; OBZL 242; SLLHA 565,egir₆ eĝir₆ lumₓ ĝurgu₂ mur₇ mur₈ murgu₂,7213,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=eger%E2%82%86&subIndex=6&value=eger
eger₆,eger,6,2,SIG₄,ABZ567,905,HZL 311; LAK 188; OBZL 243; SLLHA 567; KWU 355,bar₅ egir₆ gar₈ gara₈ ĝar₈ ĝur₂₃ kulla kulluₓ seg₄ sig₄ še₂₇ šeb₄ šed₁₆ šeg₁₂,2029,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=eger%E2%82%86&subIndex=6&value=eger
egir₆,egir,6,2,MURGU₂,ABZ565,901,HZL 311; OBZL 242; SLLHA 565,eger₆ eĝir₆ lumₓ ĝurgu₂ mur₇ mur₈ murgu₂,7213,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=egir%E2%82%86&subIndex=6&value=egir
